Index,Quarterly change%,Annual change%,Real price index,Quarterly change% (real price index),Annual change% (real price index),Price per square meter(EUR/m2),Lower quartile,Medianprice,Upper quartile,Average area m2,Number,Quarter
101.6,-0.2,-2.7,98.8,-0.7,-3.8,23.4,7.4,30,57.5,2610,706,2019Q1
98.9,-2.7, -6,95.6,-3.4,-7.2,19.9,4.3,19.7,42,2700,932,2019Q2
100,1.2,-1.3,96.7,1.2,-2.3,21.8,4.8,16.2,58.3,2601,794,2019Q3
99.7,-0.4,-2.1,96.2,-0.6,-3.4,25.4,5.4,23.4,60.4,2774,791,2019Q4
106.4,6.8,4.7,102.8,6.9,3.9,24.6,7.1,27.8,57.4,2511,784,2020Q1
104.4,-1.8,5.7,101.2,-1.6,5.9,21.2,4.8,18.5,50.9,2909,904,2020Q2
107.4,2.8,7.4,103.6,2.3,7.1,20.6,4.9,19,52.1, 2991, 1018,2020Q3
112.4,4.6,12.8,108.3,4.5,12.5,25.8,4.8,20.6,68.1,2764,1204,2020Q4
108.1,-3.8,1.6,103.3,-4.5,0.5,25.1,6.2,25.4,56.2,2707,1132,2021Q1
120.4,11.4,15.2,114.3,10.6,12.9,26.5,6,23.8,55.3,2713,1594,2021Q2
120.8,0.4,12.5,114,-0.3,10.1,24.3,4.8,20.9,49,2703,1074,2021Q3
114.9,-4.9,2.3,107,-6.1,-1.1,22.1,5,19.6,50.5,3016,1040,2021Q4
119.3,3.8,10.3,108.7,1.6,5.2,25.6,6.4,25,60.7,2755,933,2022Q1
120.8,1.3,0.4,107.4,-1.2,-6,25.3,5,19.5,55.7,2875,928,2022Q2
126.2,4.4,4.4,110.4,2.8,-3.1,27.5,4.8,17.8, 65,2902,701,2022Q3
118.4,-6.2,3,101.3,-8.3,-5.4,25.6,3.5,16,62.9,2844,546,2022Q4
115,-2.9,-3.6,96.7,-4.5,-11.1,26.1,4.4,20,57.9,2545,445,2023Q1
115,0.0,-4.8,95.5,-1.2,-11.1,24.3,4.3,16.6,60.6,2892,610,2023Q2
